Wed Jan 15 14:31:50 2025    profiling-output

         709733 function calls (690256 primitive calls) in 6.802 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.000    5.000    5.000    5.000 {built-in method time.sleep}
      325    1.080    0.003    1.080    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.061    0.061    0.061    0.061 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.056    0.056    0.056    0.056 {method 'connect' of '_socket.socket' objects}
        1    0.037    0.037    0.037    0.037 {built-in method _socket.getaddrinfo}
        1    0.032    0.032    0.032    0.032 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     2670    0.026    0.000    0.140    0.000 /usr/lib/python3.12/html/parser.py:301(parse_starttag)
 3242/202    0.026    0.000    0.074    0.000 /usr/lib/python3.12/re/_parser.py:512(_parse)
    24632    0.025    0.000    0.025    0.000 {method 'match' of 're.Pattern' objects}
        2    0.019    0.010    0.232    0.116 /usr/lib/python3.12/html/parser.py:134(goahead)
      162    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
 4012/194    0.015    0.000    0.038    0.000 /usr/lib/python3.12/re/_compiler.py:37(_compile)
    71670    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
68028/68020    0.011    0.000    0.012    0.000 {built-in method builtins.isinstance}
     2557    0.010    0.000    0.016    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/builder/__init__.py:295(_replace_cdata_list_attribute_values)
     5582    0.009    0.000    0.035    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/__init__.py:586(endData)
     8073    0.009    0.000    0.009    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:156(setup)
